bw_mhz,dwell_ms,sweep_period_s,n_blocks,scans_per_sweep_s,pred_energy_j,evaluated,reject_reason,poi_10,poi_30,poi_60,poi_p1_60,energy_j,energy_cap_j,scan_span_frac,n_scans,n_unique_detections,energy_per_detection_j,coverage_frac,max_staleness_p1_s,admissible
20.0,100.0,15.0,10,0.6666666666666666,4.7088,1,,0.125,0.2916666666666667,0.5416666666666666,0.0,4.664936099999997,5.826135699999867,0.9766816666666673,40.0,6.666666666666667,0.7275078917857138,0.005929215051457532,14.900000000000034,1
1.0,2.0,10.0,200,20.0,5.44776,1,,0.3333333333333333,0.375,0.5,0.0,5.4133472000000245,5.826135699999867,0.9992086666667118,1200.0,7.333333333333333,0.7869402874074111,0.00020823218524633046,9.99800000000085,1
5.0,2.0,5.0,40,8.0,2.6136,1,,0.041666666666666664,0.3333333333333333,0.5,0.0,2.5968426000000178,5.826135699999867,0.9979599999999943,480.0,9.0,0.3358879032478655,0.000355154225680441,4.998000000000069,1
5.0,5.0,10.0,40,4.0,2.3268000000000004,1,,0.25,0.375,0.5,0.0,2.3093106000000008,5.826135699999867,0.995926666666664,240.0,7.333333333333333,0.31615561785714297,0.00048035597525304566,9.995000000000033,1
5.0,10.0,10.0,40,4.0,3.5268,1,,0.3333333333333333,0.4166666666666667,0.5,0.0,3.4973106,5.826135699999867,0.9960099999999997,240.0,9.333333333333334,0.41634649999999995,0.000969004437112697,9.990000000000006,1
10.0,2.0,3.0,20,6.666666666666667,2.352,1,,0.041666666666666664,0.375,0.5,0.0,2.33680709999998,5.826135699999867,0.9975450000000153,400.0,7.0,0.3461936444444415,0.0006940272339336823,2.9980000000001112,1
10.0,10.0,10.0,20,2.0,2.0856,1,,0.25,0.375,0.5,0.0,2.0688711000000017,5.826135699999867,0.9918450000000001,120.0,7.666666666666667,0.2991354750649353,0.0010736340326737426,9.990000000000006,1
20.0,2.0,1.0,10,10.0,3.432,1,,0.16666666666666666,0.4166666666666667,0.5,0.0,3.40930409999995,5.826135699999867,0.9983816666666764,600.0,10.666666666666666,0.3327846368006944,0.002043026681634873,0.9980000000000153,1
20.0,2.0,2.0,10,5.0,2.016,1,,0.125,0.2916666666666667,0.5,0.0,2.002964099999977,5.826135699999867,0.9967150000000059,300.0,7.666666666666667,0.3110663943181783,0.0010370250790227543,1.998000000000026,1
20.0,20.0,7.5,10,1.3333333333333333,2.4175999999999997,1,,0.25,0.375,0.5,0.0,2.397248099999996,5.826135699999867,0.9878483333333375,80.0,11.333333333333334,0.2118779886363633,0.0024380254020703197,7.480000000000068,1
20.0,50.0,15.0,10,0.6666666666666666,2.7088000000000005,1,,0.125,0.2916666666666667,0.5,0.0,2.6849361000000003,5.826135699999867,0.9758483333333339,40.0,6.666666666666667,0.4101985708333334,0.0029412316622933585,14.950000000000031,1
2.0,2.0,5.0,100,20.0,5.49504,1,,0.08333333333333333,0.4166666666666667,0.4583333333333333,0.0,5.460179099999983,5.826135699999867,0.9992090000000452,1200.0,10.0,0.6556881739743569,0.00037612821454434837,4.998000000000424,1
5.0,5.0,15.0,40,2.6666666666666665,1.7512000000000003,1,,0.125,0.2916666666666667,0.4583333333333333,0.0,1.7382666000000124,5.826135699999867,0.9938433333333313,160.0,5.0,0.3724857000000026,0.0003033521723390733,14.995000000000017,1
5.0,10.0,7.5,40,5.333333333333333,4.5024,1,,0.25,0.375,0.4583333333333333,0.0,4.46435459999997,5.826135699999867,0.9970516666666663,320.0,12.0,0.373763953496501,0.0012076150289021016,7.4900000000000055,1
10.0,10.0,7.5,20,2.6666666666666665,2.5808,1,,0.20833333333333334,0.375,0.4583333333333333,0.0,2.5597190999999957,5.826135699999867,0.9939283333333334,160.0,9.666666666666666,0.269546177954545,0.001318157019848434,7.490000000000002,1
20.0,1.0,1.0,10,10.0,2.832,1,,0.08333333333333333,0.3333333333333333,0.4583333333333333,0.0,2.8153040999999828,5.826135699999867,0.9983650000000098,600.0,6.0,0.5641780041666632,0.001021513340815937,0.9990000000000165,1
20.0,10.0,7.5,10,1.3333333333333333,1.6176,1,,0.08333333333333333,0.3333333333333333,0.4583333333333333,0.0,1.6052480999999963,5.826135699999867,0.9876816666666678,80.0,7.666666666666667,0.21551942083333286,0.0012152113440117385,7.490000000000034,1
20.0,100.0,30.0,10,0.3333333333333333,2.6544000000000003,1,,0.125,0.2916666666666667,0.4583333333333333,0.0,2.6307800999999995,5.826135699999867,0.951681666666667,20.0,4.333333333333333,0.7829702678571427,0.003497640186346972,29.900000000000016,1
2.0,10.0,20.0,100,5.0,4.2237599999999995,1,,0.08333333333333333,0.25,0.4166666666666667,0.0,4.188111899999975,5.826135699999867,0.9968423333333281,300.0,4.0,1.09356255166666,0.000335614505562863,19.990000000000183,1
5.0,1.0,5.0,40,8.0,2.1336,1,,0.041666666666666664,0.3333333333333333,0.4166666666666667,0.0,2.1216426000000244,5.826135699999867,0.9979433333333073,480.0,5.0,0.4546377000000052,0.00017757711283998093,4.9990000000000165,1
5.0,5.0,7.5,40,5.333333333333333,2.9024000000000005,1,,0.20833333333333334,0.375,0.4166666666666667,0.0,2.8803545999999844,5.826135699999867,0.9969683333333297,320.0,9.333333333333334,0.30937141999999834,0.0006037998722744356,7.495000000000057,1
5.0,20.0,20.0,40,2.0,3.2634,1,,0.08333333333333333,0.25,0.4166666666666667,0.0,3.2347445999999977,5.826135699999867,0.9920099999999983,120.0,4.333333333333333,0.8086861499999994,0.0007217616976540075,19.979999999999958,1
10.0,2.0,2.0,20,10.0,3.228,1,,0.041666666666666664,0.3333333333333333,0.4166666666666667,0.0,3.207047099999994,5.826135699999867,0.9983783333333361,600.0,8.0,0.4446133479545446,0.0010405273592910462,1.9980000000000278,1
10.0,5.0,7.5,20,2.6666666666666665,1.7808000000000002,1,,0.16666666666666666,0.2916666666666667,0.4166666666666667,0.0,1.7677190999999954,5.826135699999867,0.9938450000000066,160.0,7.666666666666667,0.2314870249999994,0.0006632525282822097,7.4950000000001324,1
10.0,5.0,10.0,20,2.0,1.4856,1,,0.20833333333333334,0.3333333333333333,0.4166666666666667,0.0,1.4748710999999972,5.826135699999867,0.9917616666666716,120.0,5.666666666666667,0.26688143714285667,0.000531436193548913,9.995000000000132,1
10.0,10.0,20.0,20,1.0,1.3428,1,,0.041666666666666664,0.3333333333333333,0.4166666666666667,0.0,1.332599099999999,5.826135699999867,0.9835116666666667,60.0,4.333333333333333,0.31093978999999977,0.0003626639008800718,19.990000000000002,1
